Q-function training is starting
[Epoch 1920/1000000] Q loss: 0.0029185099155145, score: 0, distance survived: 81
[Epoch 1930/1000000] Q loss: 0.004228413144482133, score: 0, distance survived: 35
[Epoch 1940/1000000] Q loss: 0.005161947502319306, score: 0, distance survived: 81
[Epoch 1950/1000000] Q loss: 0.004218822301223331, score: 0, distance survived: 64
[Epoch 1960/1000000] Q loss: 0.0056689015565615525, score: 0, distance survived: 35
[Epoch 1970/1000000] Q loss: 0.0033112806650447487, score: 0, distance survived: 39
[Epoch 1980/1000000] Q loss: 0.003248268074302605, score: 0, distance survived: 83
[Epoch 1990/1000000] Q loss: 0.0035328629861509854, score: 0, distance survived: 80
[Epoch 2000/1000000] Q loss: 0.0030841159402403206, score: 0, distance survived: 64
[Epoch 2010/1000000] Q loss: 0.004299443555656978, score: 0, distance survived: 79
[Epoch 2020/1000000] Q loss: 0.004382089813580869, score: 0, distance survived: 77
[Epoch 2030/1000000] Q loss: 0.004176182676937735, score: 0, distance survived: 78
[Epoch 2040/1000000] Q loss: 0.0073113844519067574, score: 0, distance survived: 79
[Epoch 2050/1000000] Q loss: 0.003963141798795605, score: 0, distance survived: 81
[Epoch 2060/1000000] Q loss: 0.0029841029739762505, score: 0, distance survived: 65
[Epoch 2070/1000000] Q loss: 0.0033336513810345737, score: 0, distance survived: 65
[Epoch 2080/1000000] Q loss: 0.002779494551077647, score: 0, distance survived: 81
[Epoch 2090/1000000] Q loss: 0.00402162251082216, score: 0, distance survived: 179
[Epoch 2100/1000000] Q loss: 0.003376475690528434, score: 0, distance survived: 81
[Epoch 2110/1000000] Q loss: 0.0032576444881284553, score: 0, distance survived: 65
[Epoch 2120/1000000] Q loss: 0.005297879051204036, score: 0, distance survived: 63
[Epoch 2130/1000000] Q loss: 0.0027444412632920004, score: 0, distance survived: 68
[Epoch 2140/1000000] Q loss: 0.0031663830220339017, score: 0, distance survived: 67
[Epoch 2150/1000000] Q loss: 0.0022929857492436662, score: 0, distance survived: 63
[Epoch 2160/1000000] Q loss: 0.006672933284441459, score: 0, distance survived: 80
